name,type,location,description,price_per_day,rating,reviews,badge,image,features,fuel_type,cc,vendor_id
Bajaj Pulsar 220F,Sports Bike,"Station Road, CSN",High-performance sports bike for thrilling rides across the city and highways.,600,8.6,134,Popular,/images/bajaj-pulsar.jpg,"Disc Brakes, Alloy Wheels, Digital Meter",Petrol,220,1
Honda Activa 6G,Scooter,"CIDCO, CSN",India's most trusted scooter. Easy to ride fuel-efficient and perfect for daily city commuting.,350,8.9,210,Bestseller,/images/honda-activa.jpg,"Front Disc Brake, Mobile Charging, LED",Petrol,110,2
Royal Enfield Classic 350,Cruiser,"Padegaon, CSN",Iconic cruiser for long-distance rides with timeless Royal Enfield retro style.,900,9.0,88,Flagship,/images/royal-enfield.jpg,"Classic Design, Powerful Engine, Trip Meter",Petrol,350,3
Revolt RV400,Electric Bike,"Garkheda, CSN",Zero-emission electric bike. Eco-friendly quiet and perfect for city travel.,500,8.4,62,Eco-Friendly,/images/revolt-rv400.jpg,"AI Enabled, 4 Riding Modes, 150km Range",Electric,0,4
Electric City Bike,Electric Bike,"Waluj, CSN",Smooth and silent e-bike ideal for short city trips with zero carbon footprint.,450,8.1,45,,/images/electric-bike.jpg,"Pedal Assist, Long Range Battery",Electric,0,5
TVS Apache RTR 160,Sports Bike,"Kranti Chowk, CSN",Sporty bike with race-tuned fuel injection. Perfect for enthusiasts.,550,8.5,98,,/images/tvs-apache.jpg,"ABS, LED Headlamp, Digital Console",Petrol,160,1
Yamaha FZ-S V3,Street Bike,"Jalna Road, CSN",Muscular street bike with aggressive styling and smooth performance.,650,8.7,76,Stylish,/images/yamaha-fz.jpg,"LED Lights, Bluetooth, Single Channel ABS",Petrol,149,2
Hero Splendor Plus,Commuter,"Osmanpura, CSN",Most fuel-efficient bike. Perfect for daily commuting and budget travelers.,300,8.2,189,Budget,/images/hero-splendor.jpg,"i3S Technology, Alloy Wheels, Tubeless Tyres",Petrol,97,3
KTM Duke 200,Naked Bike,"CIDCO, CSN",Powerful naked street bike with aggressive performance and sharp handling.,1100,9.1,54,Performance,/images/ktm-duke.jpg,"Liquid Cooled, ABS, TFT Display",Petrol,200,4
Suzuki Access 125,Scooter,"Garkheda, CSN",Comfortable scooter with large under-seat storage. Great for city rides.,380,8.4,142,,/images/suzuki-access.jpg,"LED Headlamp, USB Charger, Disc Brake",Petrol,125,5
Royal Enfield Himalayan,Adventure,"Padegaon, CSN",Adventure touring bike built for long rides and rough terrains.,1200,8.9,67,Adventure,/images/re-himalayan.jpg,"Long Travel Suspension, Dual Purpose Tyres, Compass",Petrol,411,3
Mountain Bike Cycle,Bicycle,"Multiple Locations, CSN",Eco-friendly mountain bicycle for exploring the city at your own pace.,150,7.9,93,Eco,/images/mountain-bike.jpg,"21 Gears, Front Suspension, Water Bottle Holder",Manual,0,1
