name,type,location,description,entry_fee,rating,reviews,badge,image,opening_hours,best_time
Ajanta Caves,UNESCO Heritage,"Ajanta, Maharashtra (105 km from CSN)",Ancient Buddhist rock-cut cave monuments dating back to the 2nd century BCE. Famous for spectacular murals and sculptures.,40,9.5,1820,Must Visit,/images/ajanta.png,9:00 AM - 5:30 PM (Closed Monday),October to March
Ellora Caves,UNESCO Heritage,"Ellora, Maharashtra (30 km from CSN)",A UNESCO World Heritage Site featuring 34 rock-cut caves representing Hindu Buddhist and Jain monuments from 600-1000 CE.,40,9.4,2100,Must Visit,/images/ellora.png,6:00 AM - 6:00 PM (Closed Tuesday),October to March
Bibi Ka Maqbara,Historical Monument,"Begumpura, Chhatrapati Sambhajinagar",Known as the Taj of the Deccan this beautiful 17th-century Mughal mausoleum was built by Prince Azam Shah.,25,9.0,945,Iconic,/images/bibi.png,8:00 AM - 8:00 PM (All days),October to February
Daulatabad Fort,Historical Fort,"Daulatabad, 15 km from CSN",One of the strongest forts in India's history built on a conical hill with a 180-degree moat and labyrinthine passages.,25,8.8,678,,/images/daulatabad.png,9:00 AM - 5:30 PM (All days),November to February
Panchakki Water Mill,Heritage Site,"Dargah area, Chhatrapati Sambhajinagar",A scenic 17th-century water mill powered by an underground stream. Part of the Sufi shrine complex with beautiful gardens.,0,8.5,534,Free Entry,/images/panchakki.jpg,6:00 AM - 10:00 PM (All days),October to March
Grishneshwar Temple,Religious Site,"Khuldabad, 30 km from CSN",One of the 12 revered Jyotirlinga shrines of Lord Shiva in India. An important pilgrimage destination with ancient architecture.,0,9.2,1100,Pilgrimage,/images/grishneshwar-temple.jpg,5:30 AM - 9:30 PM (All days),Year Round
Salim Ali Lake Bird Sanctuary,Nature & Wildlife,"Near Delhi Gate, CSN",Peaceful lake and bird sanctuary named after famous ornithologist. Perfect for bird watching and nature walks.,10,8.1,287,Nature,/images/salim-ali-lake.jpg,6:00 AM - 6:00 PM (All days),November to February
Siddharth Garden & Zoo,Garden & Zoo,"Jalna Road, CSN",Large garden with zoo toy train and boating facilities. Great for family outings.,20,7.9,456,Family Fun,/images/siddharth-garden.jpg,9:00 AM - 6:00 PM (Closed Monday),October to March
Aurangabad Caves,Historical Caves,"Near Bibi Ka Maqbara, CSN",12 rock-cut Buddhist shrines dating from 3rd to 7th century. Less crowded alternative to Ajanta-Ellora.,15,8.3,198,,/images/aurangabad-caves.jpg,9:00 AM - 5:30 PM (Closed Monday),October to March
Khuldabad Valley of Saints,Religious & Historical,"Khuldabad, 30 km from CSN",Historic town with tombs of Mughal emperor Aurangzeb and Sufi saints. Peaceful spiritual atmosphere.,0,8.4,234,Heritage,/images/khuldabad.jpg,6:00 AM - 8:00 PM (All days),October to February
Bhadra Maruti Temple,Religious Site,"Khuldabad, 30 km from CSN",Unique temple with reclining Hanuman idol. One of the few temples where Hanuman is in sleeping posture.,0,8.6,167,Unique,/images/bhadra-maruti.jpg,5:00 AM - 9:00 PM (All days),Year Round
Himayat Bagh,Garden,"Near Railway Station, CSN",Historic Mughal garden with beautiful landscaping. Perfect for morning walks and picnics.,5,7.8,312,,/images/himayat-bagh.jpg,6:00 AM - 8:00 PM (All days),October to March
