name,type,cuisine,location,description,price_per_person,rating,reviews,badge,image,menu_highlights,vendor_id
Naivedya Thali Restaurant,Traditional,Maharashtrian,"Nirala Bazaar, Chhatrapati Sambhajinagar",The most authentic Maharashtrian Thali in the city. Unlimited servings of traditional dishes.,350,9.0,287,Bestseller,/images/restaurant-thali.jpg,"Puran Poli, Varan Bhaat, Shrikhand, Modak",1
Masala Dosa House,South Indian,South Indian,"Samarth Nagar, CSN",Famous for crispy masala dosas idli vada and filter coffee. Authentic South Indian flavors.,200,8.7,195,Popular,/images/masala-dosa.jpg,"Masala Dosa, Idli Sambar, Medu Vada, Filter Coffee",2
The Grill Room,North Indian,"North Indian, Mughlai","Cantonment Area, CSN",Indulge in rich Mughlai preparations kebabs biryanis and North Indian curries in a royal ambiance.,600,8.5,156,,/images/north-indian-thali.jpg,"Chicken Tikka, Dal Makhani, Butter Naan, Biryani",3
Chaat Street Corner,Street Food,Street Food,"Gulmandi, CSN",Vibrant street food stall serving the best Pani Puri Bhel Dahi Puri and Sev Puri in town.,80,8.8,412,Local Favourite,/images/pani-puri.jpg,"Pani Puri, Bhel Puri, Dahi Puri, Sev Puri",4
Renaissance Dine,Multi-cuisine,"Multi-cuisine, Continental","CIDCO, Chhatrapati Sambhajinagar",Fine dining with a wide variety of global and local cuisines. Premium experience with garden view seating.,900,9.1,103,Fine Dining,/images/hotel-renaissance.jpg,"Continental Platter, Grilled Salmon, Pasta, Indian Curries",1
Biryani Blues,Biryani Specialist,"Hyderabadi, Biryani","Jalna Road, CSN",Authentic Hyderabadi biryani with aromatic spices. Also serves kebabs and curries.,400,8.9,234,Biryani Special,/images/biryani.jpg,"Hyderabadi Biryani, Seekh Kebab, Raita, Haleem",2
Pizza Paradise,Italian,"Italian, Pizza","Samarth Nagar, CSN",Wood-fired pizzas with fresh toppings. Also serves pasta and Italian appetizers.,450,8.3,167,,/images/pizza.jpg,"Margherita Pizza, Pasta Arrabiata, Garlic Bread, Tiramisu",3
Chinese Wok,Chinese,"Chinese, Asian","Kranti Chowk, CSN",Authentic Chinese cuisine with Indo-Chinese favorites. Noodles fried rice and Manchurian specialties.,300,8.1,189,,/images/chinese-food.jpg,"Hakka Noodles, Fried Rice, Manchurian, Spring Rolls",4
Burger Junction,Fast Food,"American, Burgers","Osmanpura, CSN",Gourmet burgers with variety of patties and toppings. Also serves fries and shakes.,250,8.4,298,Quick Bites,/images/burger.jpg,"Classic Burger, Cheese Burst, Loaded Fries, Milkshakes",5
Saffron Indian Kitchen,Fine Dining,"Indian, Multi-cuisine","CIDCO, CSN",Upscale restaurant with contemporary Indian cuisine. Live music on weekends.,800,8.8,145,Premium,/images/restaurant-north-indian.jpg,"Butter Chicken, Paneer Tikka, Dal Tadka, Gulab Jamun",1
Cafe Coffee Day,Cafe,"Cafe, Beverages","Multiple Locations, CSN",Popular coffee chain with variety of hot and cold beverages. Light snacks available.,150,7.9,456,Cafe,/images/cafe.jpg,"Cappuccino, Cold Coffee, Sandwiches, Muffins",2
Tandoor Nights,Barbecue,"North Indian, Tandoor","Jalna Road, CSN",Specializes in tandoori dishes. Kebabs tikkas and naan fresh from the clay oven.,500,8.6,178,Tandoor Special,/images/tandoor.jpg,"Tandoori Chicken, Seekh Kebab, Paneer Tikka, Garlic Naan",3
